"","Brand","Vehicle","Engine","Engine.code","Torque..Nm.rpm.","Power..hp..","Power.kW..rpm.","Average.fuel.consumption..l.100.km.","CO2..g.km.","Weight.3p.5p..kg","Displacement","Compression.ratio","GearBox.type","Tyre","Traction.type"
"36","Renault","Modus Exc","1.5L dCi 105 hp","K9KTHP","240/2000",106,"78/4000",4.7,124,"1305","1461",17,"MT 6","185/55 R16","2wd"
"37","Renault","Megane 3 Berline","1.6L 100 hp","K4M","148/4250",101,"74/5500",6.7,159,"1280","1598",40,"MT","195/65 R15","2wd"
"38","Renault","Megane 3 Berline","1.5L dCi 85 hp","K9KHP","200/1750",86,"63/3750",4.5,118,"1290","1461",26,"MT","195/65 R15","2wd"
"39","Renault","Megane 3 Berline","1.6L 110 hp","K4M","151/4250",110,"81/6000",6.9,163,"1290","1598",39,"MT 6","195/65 R15","2wd"
"40","Renault","Megane 3 Berline Dyn","1.6L 110 hp","K4M","151/4250",110,"81/6000",6.9,163,"1290","1598",39,"MT 6","205/55 R16","2wd"
"41","Renault","Megane 3 Berline","1.5L dCi 105 hp","K9KTHP","240/2000",106,"78/4000",4.5,120,"1290","1461",15,"MT 6","195/65 R15","2wd"
"42","Renault","Megane 3 Berline Dyn","1.5L dCi 105 hp","K9KTHP","240/2000",106,"78/4000",4.5,120,"1290","1461",15,"MT 6","205/55 R16","2wd"
"43","Renault","Megane 3 Berline Dyn","2.0L 140 hp hpT","M4R","195/3750",140,"103/6000",7.6,176,"1356","1997",3,"hpT","205/55 R16","2wd"
"44","Renault","Megane 3 Berline Dyn","2.0L TCe 180 hp","F4RTK","300/2250",180,"132/5500",7.6,178,"1405","1998",36,"MT 6","205/45 R17","2wd"
"45","Renault","Megane 3 Berline Dyn","1.9L dCi 130 hp","F9Q","300/1750",131,"96/3750",5.1,134,"1385","1870",21,"MT 6","205/55 R16","2wd"
"46","Renault","Megane 3 Coupé","1.6L 110 hp","K4M","151/4250",110,"81/6000",6.9,163,"1290","1598",39,"MT 6","205/55 R16","2wd"
"47","Renault","Megane 3 Coupé","1.5L dCi 85 hp","K9KHP","200/1750",86,"63/3750",4.5,118,"1280","1461",26,"MT","205/55 R16","2wd"
"48","Renault","Megane 3 Coupé Dyn","1.6L 110 hp","K4M","151/4250",110,"81/6000",6.9,163,"1290","1598",39,"MT 6","205/50 R17","2wd"
"49","Renault","Megane 3 Coupé","1.5L dCi 105 hp","K9KTHP","240/2000",106,"78/4000",4.5,120,"1280","1461",15,"MT 6","205/55 R16","2wd"
"50","Renault","Megane 3 Coupé Dyn","1.5L dCi 105 hp","K9KTHP","240/2000",106,"78/4000",4.5,120,"1280","1461",15,"MT 6","205/50 R17","2wd"
"51","Renault","Megane 3 Coupé Dyn","2.0L 140 hp hpT","M4R","195/3750",140,"103/6000",7.6,176,"1356","1997",3,"hpT","205/55 R16","2wd"
"52","Renault","Megane 3 Coupé Dyn","2.0L TCe 180 hp","F4RTK","300/2250",180,"132/5500",7.6,178,"1405","1998",36,"MT 6","225/45 R17","2wd"
"53","Renault","Megane 3 Coupé Dyn","1.9L dCi 130 hp","F9Q","300/1750",131,"96/3750",5.1,134,"1385","1870",21,"MT 6","205/50 R17","2wd"
"54","Renault","Megane 2 (2006)","2.0L dCi 150 hp","M9RA","340/2000",150,"110/4000",5.4,144,"1390","1995",18,"MT 6","195/65 R15","2wd"
"55","Renault","Megane 2 (2006) Dyn","2.0L dCi 150 hp","M9RA","340/2000",150,"110/4000",5.4,144,"1390","1995",18,"MT 6","205/55 R16","2wd"
"56","Renault","Megane 2 R26.R","2.0L T 230 hp","F4RT","310/3000",230,"169/5500",8.5,199,"1305","1998",34,"MT 6","235/40 R18 95 Y","2wd"
"57","Renault","Scenic","1.6L 110 hp","K4M","151/4250",110,"81/6000",7.5,177,"1395","1598",39,"MT 6","205/60 R15","2wd"
"58","Renault","Scenic","1.5L dCi 85 hp","K9KHP","200/1750",86,"63/3750",4.9,130,"1460","1461",26,"MT 6","205/60 R15","2wd"
"59","Renault","Scenic","1.5L dCi 105 hp","K9KTHP","240/2000",106,"78/4000",4.9,130,"1460","1461",15,"MT 6","205/60 R15","2wd"
"60","Renault","Scenic Dyn","1.5L dCi 105 hp","K9KTHP","240/2000",106,"78/4000",4.9,130,"1460","1461",15,"MT 6","205/60 R16","2wd"
"61","Renault","Scenic","1.4L Tce 130 hp","H4JT","190/2250",131,"96/5500",7.1,168,"1395","1397",35,"MT 6","205/60 R16","2wd"
"62","Renault","Scenic","2.0L 140 hp hpT","F4R","195/3750",140,"103/6000",7.7,183,"1503","1997",3,"hpT","205/60 R16","2wd"
"63","Renault","Scenic","1.9L dCi 130 hp","F9Q","300/1750",131,"96/3750",5.5,145,"1505","1870",21,"MT 6","205/60 R16","2wd"
"64","Renault","Scenic","2.0L dCi 160 hp","M9RB","380/2000",160,"118/3750",6.6,173,"1595","1995",16,"MT 6","225/50 R17","2wd"
"65","Renault","Scenic","2.0L dCi 150 hp AT","M9RB","360/2000",150,"110/3750",7,184,"1615","1995",16,"AT 6","225/50 R17","2wd"
"66","Renault","Grand Scénic 5 pl.","1.6L 110 hp","K4M","151/4250",110,"81/6000",7.5,177,"1482","1598",39,"MT 6","205/60 R16 96 H","2wd"
"67","Renault","Grand Scénic 7 pl.","1.6L 110 hp","K4M","151/4250",110,"81/6000",7.5,177,"1519","1598",39,"MT 6","205/60 R16","2wd"
"68","Renault","Grand Scénic 5 pl.","1.5L dCi 105 hp","K9KTHP","240/2000",106,"78/4000",5.1,134,"1526","1461",15,"MT 6","205/60 R16","2wd"
"69","Renault","Grand Scénic 7 pl.","1.5L dCi 105 hp","K9KTHP","240/2000",106,"78/4000",5.1,135,"1563","1461",15,"MT 6","205/60 R16","2wd"
"70","Renault","Grand Scénic 7 pl. Dyn","1.4L TCe 130 hp","H4JT","190/2250",131,"96/5500",7.2,170,"1532","1397",35,"MT 6","205/60 R16","2wd"
"71","Renault","Grand Scénic 5 pl. Dyn","1.9L dCi 130 hp","F9Q","300/1750",131,"96/3750",5.5,145,"1568","1870",21,"MT 6","205/60 R16","2wd"
"72","Renault","Grand Scénic 7 pl. Dyn","1.9L dCi 130 hp","F9Q","300/1750",131,"96/3750",5.6,149,"1605","1870",21,"MT 6","205/60 R16","2wd"
"73","Renault","Grand Scénic 7 pl.","2.0L 140 hp hpT","F4R","195/3750",140,"103/6000",7.7,183,"1580","1997",3,"hpT","205/60 R16","2wd"
"74","Renault","Grand Scénic 7 pl.","2.0L dCi 160 hp","M9RB","380/2000",160,"118/3750",6.6,173,"1703","1995",16,"MT 6","225/50 R17 98 V","2wd"
"75","Renault","Grand Scénic 7 pl.","2.0L dCi 150 hp AT","M9RB","360/2000",150,"110/3750",7,184,"1722","1995",16,"AT 6","225/50 R17 98 V","2wd"
"76","Renault","Scénic (2006) 5 pl.","1.4L 100 hp","K7J","127/3750",98,"72/5700",7.2,173,"1390","1390",2,"MT","195/65 R 15","2wd"
"77","Renault","Scénic (2006) 5 pl.","1.6L 110 hp","K4M","152/4200",112,"82/6000",7.6,182,"1395","1598",2,"MT","195/65 R 15","2wd"
"78","Renault","Scénic (2006) 5 pl. Dyn","1.6L 110 hp","K4M","152/4200",112,"82/6000",7.6,182,"1395","1598",2,"MT","205/55 R 16","2wd"
"79","Renault","Scénic (2006) 5 pl.","1.6L 110 hp AT","K4M","152/4200",112,"82/6000",8,191,"1445","1598",2,"AT 4","205/55 R 16","2wd"
"80","Renault","Scénic (2006) 5 pl.","2.0L 135 hp","F4R","191/3750",134,"98.5/5500",8,192,"1475","1998",40,"MT 6","205/60 R16","2wd"
"81","Renault","Scénic (2006) 5 pl.","2.0L T 165 hp","F4RT","270/3250",163,"120/5000",8.1,194,"1500","1998",37,"MT 6","205/60 R16","2wd"
"82","Renault","Scénic (2006) 5 pl.","1.5L dCi 85 hp","K9KHP","185/2000",86,"63/4000",5.1,137,"1415","1461",27,"MT","195/65 R15","2wd"
"83","Renault","Scénic (2006) 5 pl.","1.5L dCi 105 hp","K9KTHP","240/2000-2500",106,"78/4000",5.2,138,"1440","1461",17,"MT 6","195/65 R15","2wd"
"84","Renault","Scénic (2006) 5 pl. Dyn","1.5L dCi 85 hp","K9KHP","185/2000",86,"63/4000",5.1,137,"1415","1461",27,"MT","205/55 R16","2wd"
"85","Renault","Scénic (2006) 5 pl. Dyn","1.5L dCi 105 hp","K9KTHP","240/2000-2500",106,"78/4000",5.2,138,"1440","1461",17,"MT 6","205/55 R16","2wd"
"86","Renault","Scénic (2006) 5 pl.","1.9L dCi 130 hp","F9Q","300/2000",131,"96/4000",6,159,"1505","1870",29,"MT 6","205/60 R16","2wd"
"87","Renault","Scénic (2006) 5 pl. Dyn","1.9L dCi 130 hp AT","F9Q","300/2000",131,"96/4000",7.1,188,"1505","1870",29,"AT 4","205/60 R16","2wd"
"88","Renault","Scénic (2006) 5 pl. Dyn","2.0L dCi 150 hp","M9RA","340/2000",150,"110/4000",5.8,154,"1540","1995",18,"MT 6","205/60 R16","2wd"
"89","Renault","Scénic (2006) 5 pl. Dyn","2.0L dCi 150 hp AT","M9RA","340/2000",150,"110/4000",7,186,"1580","1995",18,"AT 6","205/60 R16","2wd"
"90","Renault","Grand Scénic (2006) 5 pl.","1.6L 110 hp","K4M","152/4200",112,"82/6000",7.8,185,"1490","1598",2,"MT","205/60 R16","2wd"
"91","Renault","Grand Scénic (2006) 5 pl.","2.0L 135 hp","F4R","191/3750",134,"98.5/5500",8.2,193,"1555","1998",40,"MT 6","205/60 R16","2wd"
"92","Renault","Grand Scénic (2006) 5 pl.","2.0L T 165 hp","F4RT","270/3250",163,"120/5000",8.1,194,"1580","1998",37,"MT 6","205/60 R16","2wd"
"93","Renault","Grand Scénic (2006) 5 pl.","2.0L 135 hp AT","F4R","191/3750",134,"98.5/5500",8.6,205,"1575","1998",40,"AT 4","205/60 R16","2wd"
"94","Renault","Grand Scénic (2006) 5 pl.","1.5L dCi 105 hp","K9KTHP","240/2000-2500",106,"78/4000",5.4,144,"1535","1461",17,"MT 6","205/60 R16","2wd"
"95","Renault","Grand Scénic (2006) 5 pl.","1.9L dCi 130 hp","F9Q","300/2000",131,"96/4000",6,159,"1575","1870",29,"MT 6","205/60 R16","2wd"
"96","Renault","Grand Scénic (2006) 5 pl.","1.9L dCi 130 hp AT","F9Q","300/2000",131,"96/4000",7.1,188,"1585","1870",29,"AT 4","205/60 R16","2wd"
"97","Renault","Grand Scénic (2006) 5 pl.","2.0L dCi 150 hp","M9RA","340/2000",150,"110/4000",5.8,154,"1605","1995",18,"MT 6","205/60 R16","2wd"
"98","Renault","Grand Scénic (2006) 5 pl.","2.0L dCi 150 hp AT","M9RA","340/2000",150,"110/4000",7.2,190,"1645","1995",18,"AT 6","205/60 R16","2wd"
"99","Renault","Grand Scénic (2006) 7 pl.","1.6L 110 hp","K4M","152/4200",112,"82/6000",7.9,189,"1520","1598",2,"MT","205/60 R16","2wd"
"100","Renault","Grand Scénic (2006) 7 pl.","2.0L 135 hp","F4R","191/3750",134,"98.5/5500",8.2,193,"1585","1998",40,"MT 6","205/60 R16","2wd"
"101","Renault","Grand Scénic (2006) 7 pl.","2.0L T 165 hp","F4RT","270/3250",163,"120/5000",8.1,194,"1610","1998",37,"MT 6","205/60 R16","2wd"
"102","Renault","Grand Scénic (2006) 7 pl.","2.0L 135 hp AT","F4R","191/3750",134,"98.5/5500",8.6,205,"1605","1998",40,"AT 4","205/60 R16","2wd"
"103","Renault","Grand Scénic (2006) 7 pl.","1.5L dCi 105 hp","K9KTHP","240/2000-2500",106,"78/4000",5.4,144,"1565","1461",17,"MT 6","205/60 R16","2wd"
"104","Renault","Grand Scénic (2006) 7 pl.","1.9L dCi 130 hp","F9Q","300/2000",131,"96/4000",6,159,"1605","1870",29,"MT 6","205/60 R16","2wd"
"105","Renault","Grand Scénic (2006) 7 pl.","1.9L dCi 130 hp AT","F9Q","300/2000",131,"96/4000",7.1,188,"1615","1870",29,"AT 4","205/60 R16","2wd"
"106","Renault","Grand Scénic (2006) 7 pl.","2.0L dCi 150 hp","M9RA","340/2000",150,"110/4000",5.8,154,"1635","1995",18,"MT 6","205/60 R16","2wd"
"107","Renault","Grand Scénic (2006) 7 pl.","2.0L dCi 150 hp AT","M9RA","340/2000",150,"110/4000",7.2,190,"1705","1995",18,"AT 6","205/60 R16","2wd"
"108","Renault","Koleos","2.5L 170 hp 4x2","?","226/4400",171,"126/6000",9.6,227,"1639","2488",38,"MT 6","225/60 R17 99 H","2wd"
"109","Renault","Koleos","2.0L dCi 150 hp 4x2","M9RA","320/2000",150,"110/4000",6.8,179,"1724","1995",18,"MT 6","225/60 R17 99 H","2wd"
"110","Renault","Koleos","2.5L 170 hp 4x4","?","226/4400",171,"126/6000",9.6,227,"1697","2488",38,"MT 6","225/60 R17 99 H","4wd"
"111","Renault","Koleos","2.0L dCi 150 hp 4x4","M9RA","320/2000",150,"110/4000",7.3,191,"1730","1995",18,"MT 6","225/60 R17 99 H","4wd"
"112","Renault","Koleos","2.0L dCi 175 hp 4x4","M9RB","360/2000",173,"127/3750",7.5,197,"1730","1995",18,"MT 6","225/60 R17 99 H","4wd"
"113","Renault","Koleos","2.0L dCi 150 hp 4x4 AT","M9RA","320/2000",150,"110/4000",7.9,209,"1784","1995",18,"AT 6","225/60 R17 99 H","4wd"
"114","Renault","Vel Satis","2.0L T 170 hp","F4RT","270/3250",170,"125/5000",9.4,225,"1640","1998",37,"MT 6","225/55 R17","2wd"
"115","Renault","Vel Satis","2.0L T 170 hp AT","F4RT","270/3250",170,"125/5000",9.9,237,"1660","1998",37,"AT 5","255/55 R17","2wd"
"116","Renault","Vel Satis","3.5L V6 240 hp AT","V4Y","330/3600",241,"177/6000",11.5,275,"1720","3498",4,"AT 5","245/45 R18","2wd"
"117","Renault","Vel Satis","2.0L dCi 150 hp","M9RA","340/2000",150,"110/4000",7.3,194,"1665","1995",19,"MT 6","225/55 R17","2wd"
"118","Renault","Vel Satis","2.0L dCi 175 hp","M9RB","360/1750",173,"127/3750",7.3,194,"1665","1995",19,"MT 6","225/55 R17","2wd"
"119","Renault","Vel Satis","3.0L dCi V6 180 hp AT","P9X","400/1800",181,"133/4000",8.7,232,"1735","2959",30,"AT 6","225/55 R17","2wd"
"120","Renault","Espace","2.0L 136 hp","F4R","191/3750",136,"100/5500",9.4,223,"1740","1998",40,"MT 6","225/60 R16","2wd"
"121","Renault","Espace","2.0L T 170 hp","F4RT","270/3250",170,"125/5000",9.6,227,"1760","1998",40,"MT 6","225/60 R16","2wd"
"122","Renault","Espace Imp.","2.0L T 170 hp","F4RT","270/3250",170,"125/5000",9.6,227,"1760","1998",40,"MT 6","225/55 R17","2wd"
"123","Renault","Espace","2.0L T 170 hp AT","F4RT","270/3250",170,"125/5000",10.3,243,"1780","1998",40,"AT 5","225/55 R17","2wd"
"124","Renault","Espace","3.5L V6 240 hp AT","V4Y","330/3600",241,"177/6000",12,284,"1845","3498",4,"AT 5","225/55 R17","2wd"
"125","Renault","Espace","2.0L dCi 130 hp","M9RA","320/2000",131,"96/4000",6.8,187,"1832","1995",19,"MT 6","225/55 R17","2wd"
"126","Renault","Espace","2.2L dCi 140 hp AT","G9T","320/1750",139,"102/4000",9.2,244,"1885","2188",28,"AT 5","225/55 R17","2wd"
"127","Renault","Espace","2.0L dCi 150 hp","M9RB","340/2000",150,"110/4000",7.4,191,"1855","1995",19,"MT 6","225/55 R17","2wd"
"128","Renault","Espace","2.2L dCi 150 hp","G9T","320/1750",150,"110/4000",7.6,200,"1850","2188",28,"MT 6","225/55 R17","2wd"
"129","Renault","Espace","2.0L dCi 175 hp","M9RB","360/1750",173,"127/3750",7.4,197,"1855","1995",19,"MT 6","225/55 R17","2wd"
"130","Renault","Espace Pri.","2.0L dCi 175 hp","M9RB","360/1750",173,"127/3750",7.4,197,"1855","1995",19,"MT 6","225/55 R17","2wd"
"131","Renault","Grand Espace","2.0L T 170 hp","F4RT","270/3250",170,"125/5000",9.6,227,"1815","1998",40,"MT 6","225/60 R16","2wd"
"132","Renault","Grand Espace","2.0L T 170 hp","F4RT","270/3250",170,"125/5000",9.6,227,"1815","1998",40,"MT 6","225/55 R17","2wd"
"133","Renault","Grand Espace","2.0L T 170 hp AT","F4RT","270/3250",170,"125/5000",10.3,243,"1840","1998",40,"AT 5","225/60 R16","2wd"
"134","Renault","Grand Espace","3.5L V6 240 hp AT","V4Y","330/3600",241,"177/6000",12.2,289,"1890","3498",4,"AT 5","225/55 R17","2wd"
"135","Renault","Grand Espace","2.2L dCi 140 hp AT","G9T","320/1750",139,"102/4000",9.2,244,"1935","2188",28,"AT 5","225/55 R17","2wd"
"136","Renault","Grand Espace","2.0L dCi 150 hp","M9RA","340/2000",150,"110/4000",7.4,191,"1905","1995",19,"MT 6","225/55 R17","2wd"
"137","Renault","Grand Espace","2.0L dCi 175 hp","M9RB","360/1750",173,"127/3750",7.6,200,"1905","1995",19,"MT 6","225/55 R17","2wd"
"138","Renault","Grand Espace Pri.","2.0L dCi 175 hp","M9RB","360/1750",173,"127/3750",7.6,200,"1905","1995",19,"MT 6","225/55 R17","2wd"
"139","Renault","Laguna","1.6L 110 hp","K4M","151/4250",112,"82/6000",7.6,180,"1430","1598",40,"MT 6","195/60 R16","2wd"
"140","Renault","Laguna","1.5L dCi 110 hp","K9KTHP","240/2000",110,"81/4000",4.9,130,"1461","1461",17,"MT 6","195/60 R16","2wd"
"141","Renault","Laguna","2.0L dCi 130 hp","M9RA","320/2000",131,"96/4000",6,157,"1537","1995",19,"MT 6","195/60 R16","2wd"
"142","Renault","Laguna","2.0L 140 hp","F4R","195/3750",140,"103/6000",7.6,180,"1444","1997",3,"MT 6","205/60 R16","2wd"
"143","Renault","Laguna Exp. Techno","1.5L dCi 110 hp","K9KTHP","240/2000",110,"81/4000",4.9,130,"1461","1461",17,"MT 6","205/60 R16","2wd"
"144","Renault","Laguna Dyn.","2.0L 140 hp","F4R","195/3750",140,"103/6000",7.9,185,"1444","1997",3,"MT 6","215/50 R17","2wd"
"145","Renault","Laguna Exp. Techno","2.0L dCi 130 hp","M9RA","320/2000",131,"96/4000",6,157,"1537","1995",19,"MT 6","205/60 R16","2wd"
"146","Renault","Laguna Dyn.","2.0L dCi 130 hp","M9RA","320/2000",131,"96/4000",6,157,"1537","1995",19,"MT 6","215/50 R17","2wd"
"147","Renault","Laguna","2.0L dCi 150 hp","M9RA","340/2000",150,"110/4000",6,157,"1537","1995",19,"MT 6","205/60 R16","2wd"
"148","Renault","Laguna Dyn.","2.0L dCi 150 hp","M9RA","340/2000",150,"110/4000",6,157,"1537","1995",19,"MT 6","215/50 R17","2wd"
"149","Renault","Laguna Dyn.","2.0L dCi 150 hp AT","M9RA","340/2000",150,"110/4000",7,185,"1611","1995",19,"AT 6","215/50 R17","2wd"
"150","Renault","Laguna","2.0L dCi 175 hp","M9RB","380/2000",173,"127/3750",6.5,150,"1567","1995",19,"MT 6","215/50 R17","2wd"
"151","Renault","Laguna Pri.","2.0L dCi 150 hp AT","M9RA","340/2000",150,"110/4000",7,185,"1611","1995",19,"AT 6","215/50 R17","2wd"
"152","Renault","Laguna","2.0L T 170 hp AT","F4RT","270/3250",170,"125/5000",8.8,207,"1542","1998",37,"AT 6","215/50 R17","2wd"
"153","Renault","Laguna Coupé","2.0L dCi 150 hp","M9RA","340/2000",150,"110/4000",6,157,"1561","1995",18,"MT 6","215/50 R17","2wd"
"154","Renault","Laguna Coupé","2.0L dCi 175 hp","M9RB","380/2000",173,"127/3750",5.7,150,"1561","1995",19,"MT 6","215/50 R17","2wd"
"155","Renault","Laguna Coupé","2.0L dCi 150 hp AT","M9RA","340/2000",150,"110/4000",7,185,"1614","1995",18,"AT 6","215/50 R17","2wd"
"156","Renault","Laguna Coupé","2.0L T 205 hp","F4RT","300/3000",204,"150/5000",8.2,194,"1503","1998",34,"MT 6","215/50 R17","2wd"
"157","Renault","Laguna Coupé","3.5L V6 240 hp AT","V4Y","330/4400",238,"175/6000",10,238,"1597","3498",4,"AT 6","215/50 R17","2wd"
"158","Renault","Laguna Coupé","3.0L V6 dCi 235 hp AT","V9X","450/1500",235,"179/3750",7.2,192,"1705","2993",19,"AT 6","215/50 R17","2wd"
"159","Peugeot","107 2-Tronic","1.0L 68 hp 3 Cyl.","1KR-FE","93/3600",68,"50/6000",4.6,107,"900/915","998",5,"AT 5","155/65 R14 T","2wd"
"160","Peugeot","107","1.4L HDi 54 hp","DV4 TD","130/1750",54,"40/4000",4.1,109,"965/965","1399",27,"MT","155/65 R14 T","2wd"
"161","Peugeot","107 Urb.","1.0L 68 hp 3 Cyl.","1KR-FE","93/3600",68,"50/6000",4.5,106,"865/880","998",5,"MT","155/65 R14 T","2wd"
"162","Peugeot","206+","1.1L 60 hp","TU1","94/3300",60,"44/5500",5.7,135,"1013/1020","1124",1,"MT","175/65 R14","2wd"
"163","Peugeot","206+","1.4L 75 hp","TU3","120/3400",75,"55/5500",6.3,150,"1016/1027","1361",3,"MT","175/65 R14","2wd"
"164","Peugeot","206+","1.4L HDi 70 hp","DV4 TD","160/2000",68,"50/4000",4.2,110,"1042/1055","1399",27,"MT","175/65 R14","2wd"
"165","Peugeot","3008","1.6L VTi 120 hp","EP6","160/4250",120,"88/6000",7.1,165,"1474","1598",9,"MT","215/60 R16","2wd"
"166","Peugeot","3008","1.6L THP 150 hp","EP6 DT","240/1400",150,"110/5800",7.4,176,"1534","1598",5,"MT 6","215/60 R16","2wd"
"167","Peugeot","3008","1.6L HDi FAP 110 hp","DV6 TED4","240/1750",109,"80/4000",5.1,137,"1500","1560",28,"MT 6","215/60 R16","2wd"
"168","Peugeot","3008","1.6L HDi FAP 110 hp AMT","DV6 TED4","240/1750",109,"80/4000",4.9,130,"1500","1560",28,"AMT 6","215/60 R16","2wd"
"169","Peugeot","3008","2.0L HDi FAP 150 hp","DW10","340/2000",150,"110/3750",5.6,146,"1604","1997",1,"MT 6","215/60 R16","2wd"
"170","Peugeot","3008","2.0L HDi FAP 163 hp AT","DW10","340/2000",163,"120/3750",6.7,176,"1614","1997",1,"AT 6","215/60 R16","2wd"
